Post Source;Post URL;Username;Comment;clean_text
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;bipbubupbipbab;Kota aneh emang, ga mikirin yang pake kendaraan umum buat kebutuhan sehari2;kota aneh emang ga mikirin pake kendaraan kebutuhan sehari
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;official.queenhumaira;Perasaan di Jakarta ga gini deh, malah ditambah armada sama jamnya, padahal di Surabaya banyak pekerja ditanggal tersebut pulang jam 16.00 - 17.00;perasaan jakarta ga gini deh ditambah armada jamnya surabaya pekerja ditanggal pulang jam
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;aerditto;Malam tahun baru itu harusnya nambah jadwal bukan malah mengurangi jam operasional gimana ya ini? @ericahyadi_ @dishubsurabaya kalian gangerti situasi dan kondisi di lapangan apa gimana? masa ngatur jam operasional seenak jidat;malam nambah jadwal mengurangi jam operasional gimana ya gangerti situasi kondisi lapangan gimana ngatur jam operasional seenak jidat
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;deenovifatma;Taun baruan ada keramaian malah gak ada transum.;
"Tambah macet2an kendaraan pribadi dong 😂""";taun baruan keramaian gak transum macetan kendaraan pribadi;negative;0.9981439113616943;4
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;suherman25;Ini tgl 2 belum normal;tgl normal
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;aranrin_arin;didik karyawan karyawan go bus dengan baik pelayanan yang diberikan sangat mengecewakan terutama admin Instagramnya;didik karyawan karyawan go bus pelayanan mengecewakan admin instagramnya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;yoganurdiansyah26;Trans semanggi purabaya kenjeran di apk tracking gobis kok hilang apakah masih libur min?;trans semanggi purabaya kenjeran apk tracking gobis hilang libur min
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;bimowid;Aneh 😭🥹;aneh
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;hanggarabayusaputra;Saya nungguin udah hampir 2 jam lebih ada yang nongol sama sekali bus,ternyata ada penyesuaian jadwal;nungguin udah jam nongol busternyata penyesuaian jadwal
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;cientyaekaa;Harusnya ditempel pemberitahuan di tiap halte, tadi jam 19.00 banyak yg nunggu di halte, kasihan yang sepuh2;ditempel pemberitahuan halte jam yg nunggu halte kasihan sepuh
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;jonathan.huang_;Dari seluruh dunia di dalam bumi. Transport umum iso berkurang jam e.. di tahun baru 👏;dunia bumi transport iso berkurang jam e
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;jonathan.huang_;Bukan e melayani wisatawan. Malah libur 😢😢😢.. untung di rumah. Tapi kasihan buat pendatang. Kalau di malaysia atau di thailand bahkan seluruh dunia. Masih kerja melayani. Ini malah ...... 😢😢😢;e melayani wisatawan libur untung rumah kasihan pendatang malaysia thailand dunia kerja melayani
